node1,node2
5-Hydroxyhexanoic acid__PLS,1-Phenylethanol__PLS
5-Hydroxyhexanoic acid__PLS,"5-Androsten-17alpha-methyl-3beta,17beta-diol__PLS"
5-Hydroxyhexanoic acid__PLS,7-(Trimethylsilyl)amino-4-methylcoumarin__PLS
5-Hydroxyhexanoic acid__PLS,Benzeneacetic acid__PLS
5-Hydroxyhexanoic acid__PLS,"beta-d-Fructopyranose, 1-deoxy-1-(4-morpholinyl)-2,3,4,5-tetrakis-O-(trimethylsilyl)-__PLS"
5-Hydroxyhexanoic acid__PLS,Metanephrine__PLS
5-Hydroxyhexanoic acid__PLS,"Thymine, 1,3-dimethyl-6-(trimethylsilyloxymethyl)-__PLS"
(CH3)2C=NC2H558__PLS,2-Hydroxy-5-methoxybenzaldehyde__PLS
(CH3)2C=NC2H558__PLS,"2,5-Cyclohexadiene-1,4-dione, 2,6-bis(1,1-dimethylethyl)-__PLS"
(CH3)2C=NC2H558__PLS,"Benzoic acid, methyl ester__PLS"
(pm)-alpha-Tocopherol acetate__PLS,"(R*,S*)-2,3-Dihydroxybutanoic acid__PLS"
(pm)-alpha-Tocopherol acetate__PLS,2-Naphthol__PLS
(pm)-alpha-Tocopherol acetate__PLS,5-Hydroxytryptophan__PLS
(pm)-alpha-Tocopherol acetate__PLS,Benzeneacetic acid__PLS
(pm)-alpha-Tocopherol acetate__PLS,5-Hydroxyhexanoic acid__PLS
(pm)-alpha-Tocopherol acetate__PLS,Diphenyl ether__PLS
(pm)-alpha-Tocopherol acetate__PLS,Hexanedioic acid__PLS
(pm)-alpha-Tocopherol acetate__PLS,Itaconic acid__PLS
(pm)-alpha-Tocopherol acetate__PLS,p-Hydroxydiisopropylbenzene__PLS
(pm)-alpha-Tocopherol acetate__PLS,L-Tyrosine__PLS
(pm)-N-Propylamphetamine__PLS,"5alpha-Pregnane-3,20-dione__PLS"
(pm)-Norketamine__PLS,L-Leucine__PLS
(pm)-Norketamine__PLS,Naphthofluorescein__PLS
(pm)-Phenylpropanolamine__PLS,3-(2-Hydroxyethyl)imidazole-2-thione__PLS
(pm)-Phenylpropanolamine__PLS,3-Indolepropionic acid__PLS
"(R*,S*)-2,3-Dihydroxybutanoic acid__PLS","3,4-dimethyl-5-(3,4-methylenedioxy)phenyloxazolidine__PLS"
"(R*,S*)-2,3-Dihydroxybutanoic acid__PLS",Benzeneacetamide__PLS
"(R*,S*)-2,3-Dihydroxybutanoic acid__PLS",Diphenyl ether__PLS
1-(3-Methylphenyl)piperazine__PLS,1-(4-Hydroxybenzylidene)acetone__PLS
1-(3-Methylphenyl)piperazine__PLS,"1,2-Butadiene, 1,1,4-triphenyl-3-trimethylsilyl-4-trimethylsilyloxy-__PLS"
1-(3-Methylphenyl)piperazine__PLS,Benzophenone__PLS
1-(3-Methylphenyl)piperazine__PLS,Phlorizin__PLS
1-(4-Hydroxybenzylidene)acetone__PLS,"1,3-bis[(Trimethylsilyl)ethynyl]benzene__PLS"
1-(4-Hydroxybenzylidene)acetone__PLS,4-Hydroxy-5-(hydroxymethyl)oxolan-2-one__PLS
1-(4-Hydroxybenzylidene)acetone__PLS,L-Threitol__PLS
1-(4-Hydroxybenzylidene)acetone__PLS,S-Methyl-L-cysteine__PLS
1-Aminocyclopropanecarboxylic acid__PLS,3-Amino-2-piperidone__PLS
1-Aminocyclopropanecarboxylic acid__PLS,"3-Cyclohexyl-L-alanine amide, N,N,N'N'-tetramethyl-__PLS"
1-Aminocyclopropanecarboxylic acid__PLS,Glycine__PLS
"1-Butanamine, N,N-diethyl-__PLS","(R*,S*)-2,3-Dihydroxybutanoic acid__PLS"
"1-Butanamine, N,N-diethyl-__PLS",1-Octanol__PLS
"1-Butanamine, N,N-diethyl-__PLS","1,2-Butadiene, 1,1,4-triphenyl-3-trimethylsilyl-4-trimethylsilyloxy-__PLS"
"1-Butanamine, N,N-diethyl-__PLS",12-Oxooctadecanoate__PLS
"1-Butanamine, N,N-diethyl-__PLS","2-Propanone, bis(1-methylethyl)hydrazone__PLS"
"1-Butanamine, N,N-diethyl-__PLS","2,5-Piperazinedione, 3-benzyl-6-isopropyl-__PLS"
"1-Butanamine, N,N-diethyl-__PLS",3-Amino-5-morpholinomethyl-2-oxazolidinone__PLS
"1-Butanamine, N,N-diethyl-__PLS",3-Hydroxyisovaleric acid__PLS
"1-Butanamine, N,N-diethyl-__PLS",5-Henicosylresorcinol__PLS
"1-Butanamine, N,N-diethyl-__PLS","Butanal, 2,3,4-tris[(trimethylsilyl)oxy]-, O-methyloxime, [R-(R*,R*)]-__PLS"
"1-Butanamine, N,N-diethyl-__PLS","Cholest-22-ene-21-ol, 3,5-dehydro-6-methoxy-, pivalate__PLS"
"1-Butanamine, N,N-diethyl-__PLS",Dodecylcyclohexane__PLS
"1-Butanamine, N,N-diethyl-__PLS","Glycine, N-(N-DL-leucylglycyl)-__PLS"
"1-Butanamine, N,N-diethyl-__PLS",Levulinic acid__PLS
"1-Butanamine, N,N-diethyl-__PLS",Myristic acid__PLS
1-Cyclopentylethanol__PLS,1-Phenylethanol__PLS
