,pls_74_12012022,pls_71_a_12012022,pls_106_13012022,pls_104_13012022,pls_102_13012022,pls_100_13012022,pls_103_14012022,pls_101_REP_14012022,pls_75_13012022,DSS_73_REP_190124,DSS_76_REP_190124,DSS_77_REP_190124,DSS_T0.7_180124
,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0
"(2S,3R)-3-[(4E,7E)-Nona-4,7-dienoyl]-N,N-bis(trimethylsilyl)oxirane-2-carboxamide ",14.895013095309208,15.69162437018483,19.0170516179095,,17.6217073512717,17.467977900662287,17.063095861840058,17.373283717777664,12.986523748677923,19.915663889540703,20.465455927473617,20.074428529533243,
(6S)-5-Methyltetrahydrofolic acid,,,,,,8.15937216568915,,,,,10.684239505640372,,
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",11.241440816695498,11.241440816695498,13.680695348816036,11.514267928225033,13.552372804743326,14.376416116894761,12.572828378477455,11.102458222320994,11.353858129970044,15.69162437018483,14.043058300936089,,
"(9H-fluoren-9-yl)methanol, O-methoxycarbonyl-",26.26246064579268,26.6201800912091,26.26246064579268,26.26246064579268,26.6201800912091,26.688296250205116,26.336013775850347,25.892103474842564,26.26246064579268,25.23727152069106,26.26246064579268,,27.447107635858515
(CH3)2C=NC2H558,17.54089681836928,17.650336331768106,17.6217073512717,17.650336331768106,18.31955776679727,18.51017463476546,18.11054732763668,17.33158696479628,17.708997530179452,17.373283717777664,17.650336331768106,17.96954724511451,19.490728410067863
(pm)-alpha-Tocopherol acetate,10.581441847887719,11.353858129970044,12.296747807659711,9.5452513422335,10.874411873965412,13.635040517561068,10.91608403810231,10.103061377065925,12.12741999060478,12.772664579495903,15.726376172909594,16.97862927667314,
(pm)-N-Propylamphetamine,,,,18.215951384677066,23.476707946641394,23.63614345718412,,,22.30432585442568,21.448463775039905,22.337274437811843,,
(pm)-Norketamine,29.813278009564595,28.973383738146165,28.751020472792,28.86821948914614,28.86821948914614,29.299028451679874,28.26473762366425,28.398868226790213,29.422150649678,28.64025839940879,29.69514394551681,29.18307997670736,29.18307997670736
(pm)-Phenylpropanolamine,25.653757623520484,26.336013775850347,24.99274750497457,24.127664019786877,26.336013775850347,25.95667430850201,25.456846018859697,24.38950884543929,,23.430921085529484,,22.30432585442568,26.6201800912091
"(R*,S*)-2,3-Dihydroxybutanoic acid",7.771536565134165,,,4.6400580355342065,9.372726265192195,13.790635235239417,9.372726265192195,7.36848201745798,,,,,
"(S,S)-(-)-Hydrobenzoin",17.77986918874094,17.137997351351995,,20.574388474014633,,,16.29669433477845,16.400864662600988,17.303192362532272,21.473874637841547,20.80489511106007,,
"1-(1-Hydroxybutyl)-2,5-dimethoxybenzene ",25.456846018859697,22.113886571257673,18.51017463476546,16.13854448061069,25.95667430850201,21.330812193706336,21.682276012706154,24.99274750497457,17.54089681836928,23.96446493667471,24.38950884543929,27.256142839780374,24.80567999357708
"1-(2,4-Dimethoxyphenyl)-propan-2-one",21.682276012706154,22.470899925094425,22.77394850710385,19.252229197425127,22.27119795290972,23.001707748583026,22.85174109462429,22.14273213899054,21.126766697652876,,,,
1-(3-Methylphenyl)piperazine,10.719361350735484,10.227928344865886,,12.296747807659711,,,,,9.5452513422335,,,,17.303192362532272
1-(4-Hydroxybenzylidene)acetone,,12.772664579495903,,,,,,,,,,13.447857779151686,15.990609099325692
"1-(4-Methoxyphenyl)-4,6-dimethyl-2(1H)-pyrimidinone",17.33158696479628,17.303192362532272,17.467977900662287,12.772664579495903,17.511627210159055,17.93598319593494,17.96954724511451,17.6217073512717,16.687578694649417,18.457698982857444,18.654648987048752,19.075534084213622,18.400340891137283
1-Aminocyclopropanecarboxylic acid,29.18307997670736,30.65717937445432,28.135820642674332,30.457081396249325,28.26473762366425,29.18307997670736,29.69514394551681,28.26473762366425,29.69514394551681,32.507302960909506,31.967927527737817,26.688296250205116,30.13788546863514
"1-Butanamine, N,N-diethyl-",23.001707748583026,23.064613651929566,22.887776930627812,22.962755382669226,23.285680757322435,23.162783849885912,22.962755382669226,22.470899925094425,23.09652677510476,22.14273213899054,22.808118801822154,22.808118801822154,24.127664019786877
"1-Cyclohexanone, 3-butyl-3-methyl-",,12.491917499446004,,14.376416116894761,,,,11.587134843843792,10.779364047475678,10.487163562652496,10.227928344865886,12.12741999060478,
1-Cyclopentylethanol,16.29669433477845,15.726376172909594,16.25524016795433,14.840453737622385,16.856624003438768,,,15.176027156901302,,16.793350431670675,16.824449814739356,17.279278563921903,18.745132360237974
